Recency,Frequency,Monetary,Time,Class,Scored Labels,Scored Probabilities
2,3,750,14,0,2,0.894487619400024
2,11,2750,40,1,2,0.999980926513672
11,6,1500,27,0,2,0.976195096969604
16,1,250,16,0,1,0.23768575489521
2,13,3250,32,1,2,0.999952673912048
14,8,2000,46,0,2,0.999412357807159
2,12,3000,52,0,2,0.999996364116669
2,6,1500,45,0,2,0.999898076057434
2,3,750,52,0,2,0.999930679798126
14,4,1000,28,1,2,0.973875284194946
2,1,250,2,0,1,0.295637130737305
16,2,500,26,0,2,0.754082798957825
4,12,3000,34,1,2,0.999931454658508
21,1,250,21,0,1,0.218988597393036
2,1,250,2,0,1,0.295637130737305
2,15,3750,64,0,2,0.99999988079071
4,10,2500,28,1,2,0.999572515487671
4,11,2750,61,0,2,0.999998688697815
4,5,1250,74,0,2,0.999999225139618
2,7,1750,28,1,2,0.999259054660797
14,5,1250,28,1,2,0.981044173240662
2,2,500,33,0,2,0.996046364307404
11,5,1250,37,1,2,0.998272895812988
4,6,1500,30,0,2,0.997041761875153
4,6,1500,35,0,2,0.998886466026306
11,2,500,38,1,2,0.99620795249939
2,6,1500,28,0,2,0.9971644282341
2,16,4000,64,0,2,0.99999988079071
4,7,1750,62,0,2,0.999995946884155
14,8,2000,50,0,2,0.999731361865997
21,1,250,21,0,1,0.218988597393036
16,1,250,16,0,1,0.23768575489521
4,3,750,25,1,2,0.992408335208893
2,1,250,2,0,1,0.295637130737305
2,10,2500,49,0,2,0.999987483024597
2,1,250,2,0,1,0.295637130737305
21,1,250,21,1,1,0.436476826667786
13,8,2000,26,0,2,0.976800918579102
13,3,750,14,1,2,0.682735562324524
6,3,750,26,0,2,0.973884046077728
2,10,2500,52,0,2,0.999993026256561
4,1,250,4,0,1,0.28687196969986
2,4,1000,26,0,2,0.991957187652588
2,1,250,2,0,1,0.295637130737305
14,2,500,35,1,2,0.987037718296051
2,4,1000,14,1,2,0.970160365104675
11,3,750,76,0,2,0.999995529651642
16,5,1250,27,0,2,0.908926725387573
4,6,1500,47,0,2,0.999893605709076
0,13,3250,28,1,2,0.999932944774628
23,4,1000,45,0,2,0.981611430644989
14,3,750,19,1,2,0.821752369403839
4,2,500,14,0,2,0.798233807086945
1,12,3000,35,0,2,0.999918818473816
14,3,750,33,0,2,0.962784647941589
2,2,500,4,0,1,0.462944447994232
11,1,250,11,0,1,0.257452934980392
2,3,750,4,1,2,0.767760038375854
2,9,2250,22,1,2,0.998756289482117
4,2,500,4,0,1,0.358352661132813
9,1,250,9,0,1,0.265654116868973
11,4,1000,74,0,2,0.999995231628418
4,5,1250,46,0,2,0.999820411205292
4,2,500,13,0,2,0.764859855175018
2,3,750,14,0,2,0.894487619400024
11,7,1750,62,1,2,0.99999326467514
2,4,1000,23,0,2,0.985621809959412
8,2,500,16,0,2,0.710703134536743
2,1,250,2,0,1,0.295637130737305
7,2,500,16,0,2,0.753211557865143
2,7,1750,77,0,2,0.99999988079071
16,5,1250,71,0,2,0.999981820583344
11,24,6000,64,0,2,0.999999940395355
38,1,250,38,0,1,0.163486152887344
4,6,1500,52,0,2,0.999960005283356
2,9,2250,36,0,2,0.999778151512146
4,3,750,16,1,2,0.957346498966217
4,7,1750,52,0,2,0.999971210956573
1,9,2250,51,0,2,0.999990522861481
4,3,750,16,0,2,0.890412211418152
4,3,750,28,0,2,0.988391399383545
1,14,3500,95,0,2,1
11,8,2000,41,1,2,0.999704658985138
12,11,2750,39,0,2,0.999439775943756
9,8,2000,38,1,2,0.999655723571777
21,3,750,35,0,2,0.893364250659943
9,1,250,9,0,1,0.265654116868973
6,17,4250,70,0,2,0.999999940395355
2,4,1000,16,0,2,0.94568395614624
10,4,1000,16,0,2,0.754170775413513
2,4,1000,11,0,2,0.867402195930481
16,4,1000,40,0,2,0.989203214645386
3,5,1250,26,0,2,0.992796719074249
4,13,3250,39,1,2,0.999981462955475
2,1,250,2,0,1,0.295637130737305
11,5,1250,41,0,2,0.997820794582367
16,1,250,16,0,1,0.23768575489521
2,5,1250,11,1,2,0.961667954921722
4,14,3500,40,0,2,0.999969661235809
2,11,2750,28,0,2,0.999448955059052
3,5,1250,12,1,2,0.960877537727356
4,6,1500,46,0,2,0.999870657920837
14,1,250,14,0,1,0.245465293526649
16,4,1000,28,0,2,0.897364437580109
4,6,1500,35,1,2,0.99959659576416
9,2,500,26,0,2,0.933367192745209
4,1,250,4,1,2,0.526343584060669
16,6,1500,81,0,2,0.999998152256012
23,8,2000,46,0,2,0.995871305465698
12,11,2750,23,0,2,0.987309753894806
11,8,2000,72,0,2,0.999998092651367
16,1,250,16,0,1,0.23768575489521
21,1,250,21,0,1,0.218988597393036
4,2,500,51,1,2,0.999934613704681
16,7,1750,39,0,2,0.995063662528992
23,1,250,23,0,1,0.211812630295753
14,13,3250,57,0,2,0.99998676776886
9,3,750,14,0,2,0.649838387966156
2,6,1500,15,1,2,0.98704981803894
21,1,250,21,0,1,0.218988597393036
23,1,250,23,0,1,0.211812630295753
7,11,2750,89,0,2,1
9,2,500,16,1,2,0.845258295536041
14,1,250,14,0,1,0.245465293526649
2,4,1000,14,0,2,0.921689450740814
2,4,1000,16,0,2,0.94568395614624
16,1,250,16,0,1,0.23768575489521
4,4,1000,26,1,2,0.99549013376236
11,1,250,11,0,1,0.257452934980392
4,1,250,4,1,2,0.526343584060669
14,5,1250,50,0,2,0.999281466007233
2,8,2000,38,1,2,0.999924600124359
11,7,1750,37,0,2,0.997526586055756
2,1,250,2,0,1,0.295637130737305
16,4,1000,45,0,2,0.99591588973999
4,1,250,4,0,1,0.28687196969986
11,16,4000,89,0,2,1
4,1,250,4,0,1,0.28687196969986
11,2,500,11,0,1,0.324943393468857
16,6,1500,35,1,2,0.994573652744293
2,8,2000,35,1,2,0.999864399433136
21,1,250,21,0,1,0.218988597393036
21,3,750,35,0,2,0.893364250659943
14,2,500,14,0,1,0.311129957437515
2,1,250,2,0,1,0.295637130737305
14,2,500,14,0,1,0.311129957437515
23,3,750,39,0,2,0.922347247600555
21,2,500,41,0,2,0.951300501823425
14,1,250,14,0,1,0.245465293526649
14,7,1750,26,0,2,0.960647642612457
11,5,1250,35,0,2,0.992979764938354
3,5,1250,38,0,2,0.999308109283447
16,3,750,23,0,2,0.702925264835358
21,3,750,26,0,2,0.589897990226746
11,2,500,14,0,1,0.46411144733429
11,5,1250,18,0,2,0.835295796394348
23,38,9500,98,0,2,1
11,1,250,11,1,1,0.489213585853577
14,1,250,14,0,1,0.245465293526649
11,5,1250,50,0,2,0.999625146389008
16,7,1750,93,0,2,0.99999988079071
4,8,2000,21,0,2,0.991114258766174
21,1,250,21,0,1,0.218988597393036
8,9,2250,64,0,2,0.999996602535248
1,13,3250,47,0,2,0.999994397163391
11,5,1250,33,0,2,0.989649891853333
4,3,750,71,0,2,0.999997437000275
5,7,1750,26,1,2,0.997901141643524
2,1,250,2,1,2,0.536916732788086
4,4,1000,14,1,2,0.954678654670715
11,6,1500,28,0,2,0.980344593524933
1,16,4000,35,1,2,0.999992072582245
2,2,500,2,0,1,0.368174284696579
4,6,1500,23,1,2,0.995788991451263
1,24,6000,77,0,2,1
2,1,250,2,0,1,0.295637130737305
9,9,2250,54,0,2,0.999970138072968
14,1,250,14,0,1,0.245465293526649
4,9,2250,52,0,2,0.999985039234161
4,33,8250,98,1,2,1
23,8,2000,69,0,2,0.999954104423523
14,7,1750,73,0,2,0.999995887279511
23,6,1500,45,0,2,0.990374565124512
2,1,250,2,0,1,0.295637130737305
7,10,2500,47,0,2,0.999945104122162
14,1,250,14,0,1,0.245465293526649
4,12,3000,88,0,2,1
4,4,1000,16,0,2,0.918569087982178
2,1,250,2,0,1,0.295637130737305
9,9,2250,16,0,2,0.951593935489655
11,12,3000,58,0,2,0.99999213218689
2,2,500,4,1,2,0.704246580600739
4,1,250,4,0,1,0.28687196969986
16,14,3500,83,0,2,0.99999988079071
6,22,5500,28,1,2,0.999987125396729
14,1,250,14,0,1,0.245465293526649
4,5,1250,58,0,2,0.999982833862305
12,12,3000,58,0,2,0.999990224838257
2,11,2750,46,1,2,0.999994099140167
11,2,500,21,0,2,0.773234844207764
4,1,250,4,0,1,0.28687196969986
4,1,250,4,1,2,0.526343584060669
21,2,500,35,0,2,0.857840955257416
2,12,3000,47,1,2,0.999996542930603
21,3,750,40,0,2,0.957077264785767
2,2,500,10,0,2,0.736177265644073
16,2,500,27,0,2,0.788563668727875
4,7,1750,58,0,2,0.999991118907928
16,1,250,16,0,1,0.23768575489521
4,7,1750,32,1,2,0.99947726726532
4,9,2250,46,0,2,0.999951660633087
4,5,1250,58,0,2,0.999982833862305
11,8,2000,48,0,2,0.999792754650116
4,5,1250,11,1,2,0.942043364048004
23,4,1000,87,0,2,0.999994993209839
11,4,1000,28,0,2,0.962793111801147
11,3,750,28,0,2,0.949080169200897
4,4,1000,34,1,2,0.999054849147797
4,5,1250,28,0,2,0.993943452835083
2,1,250,2,0,1,0.295637130737305
14,7,1750,45,0,2,0.999008119106293
14,5,1250,26,0,2,0.926820516586304
4,2,500,59,0,2,0.999962270259857
2,7,1750,76,0,2,0.999999821186066
16,1,250,16,0,1,0.23768575489521
16,2,500,16,0,1,0.302102535963058
2,2,500,2,0,1,0.368174284696579
6,3,750,14,0,2,0.780634701251984
7,14,3500,48,0,2,0.999987840652466
14,3,750,79,0,2,0.999995231628418
4,1,250,4,0,1,0.28687196969986
4,1,250,4,0,1,0.28687196969986
11,9,2250,38,0,2,0.998943448066711
11,3,750,37,0,2,0.990872323513031
4,2,500,46,0,2,0.999519526958466
23,2,500,23,0,1,0.271716713905334
2,4,1000,16,0,2,0.94568395614624
4,19,4750,69,1,2,1
2,2,500,10,1,2,0.88516628742218
14,3,750,52,0,2,0.999063968658447
21,2,500,21,1,2,0.518149614334106
14,2,500,14,0,1,0.311129957437515
18,2,500,23,0,2,0.524763882160187
2,1,250,2,0,1,0.295637130737305
23,3,750,41,0,2,0.946151971817017
3,2,500,23,0,2,0.966246604919434
14,3,750,28,0,2,0.906717658042908
11,1,250,11,0,1,0.257452934980392
16,2,500,70,0,2,0.999940812587738
16,7,1750,38,0,2,0.994002521038055
7,9,2250,89,1,2,1
16,6,1500,40,0,2,0.994369208812714
1,14,3500,58,0,2,0.999999523162842
16,1,250,16,0,1,0.23768575489521
7,5,1250,35,0,2,0.99704110622406
3,17,4250,86,0,2,1
23,2,500,26,0,1,0.401652127504349
14,2,500,14,1,2,0.555089175701141
16,3,750,35,0,2,0.961232841014862
11,14,3500,73,1,2,0.999999940395355
23,5,1250,58,0,2,0.99894243478775
2,3,750,77,0,2,0.999999463558197
11,1,250,11,0,1,0.257452934980392
4,1,250,4,1,2,0.526343584060669
16,1,250,16,0,1,0.23768575489521
9,9,2250,38,0,2,0.999315202236176
5,14,3500,86,0,2,1
4,10,2500,28,1,2,0.999572515487671
11,8,2000,46,0,2,0.99969345331192
4,2,500,4,0,1,0.358352661132813
16,6,1500,35,0,2,0.985152363777161
4,6,1500,28,1,2,0.998413681983948
14,4,1000,64,0,2,0.999935626983643
14,4,1000,57,0,2,0.99974650144577
11,9,2250,33,0,2,0.997192859649658
4,2,500,4,1,2,0.606727182865143
11,8,2000,52,1,2,0.999965727329254
14,7,1750,72,0,2,0.999994993209839
4,1,250,4,1,2,0.526343584060669
9,4,1000,65,0,2,0.999982118606567
2,4,1000,14,1,2,0.970160365104675
11,4,1000,59,0,2,0.999910652637482
4,8,2000,40,1,2,0.999921321868896
16,3,750,50,0,2,0.997865438461304
4,23,5750,58,0,2,0.999999940395355
