Recency,Frequency,Monetary,Time,Class,Scored Labels,Scored Probabilities
2,6,1500,45,0,1,0.988709330558777
2,3,750,52,0,1,0.988939344882965
14,4,1000,28,1,1,0.988284409046173
2,1,250,2,0,1,0.987602770328522
16,2,500,26,0,1,0.988262474536896
4,12,3000,34,1,1,0.988317310810089
21,1,250,21,0,1,0.988141119480133
2,1,250,2,0,1,0.987602770328522
2,15,3750,64,0,1,0.989062905311584
4,10,2500,28,1,1,0.988185465335846
4,11,2750,61,0,1,0.989047527313232
4,5,1250,74,0,1,0.98946475982666
2,7,1750,28,1,1,0.988235056400299
14,5,1250,28,1,1,0.988267958164215
2,2,500,33,0,1,0.988452970981598
11,5,1250,37,1,1,0.988512277603149
4,6,1500,30,0,1,0.98830634355545
4,6,1500,35,0,1,0.988442242145538
11,2,500,38,1,1,0.988587200641632
2,6,1500,28,0,1,0.988251507282257
2,16,4000,64,0,1,0.989047527313232
4,7,1750,62,0,1,0.989134252071381
14,8,2000,50,0,1,0.98880922794342
21,1,250,21,0,1,0.988141119480133
16,1,250,16,0,1,0.988001763820648
4,3,750,25,1,1,0.988218486309052
2,1,250,2,0,1,0.987602770328522
2,10,2500,49,0,1,0.988751530647278
2,1,250,2,0,1,0.987602770328522
21,1,250,21,1,1,0.988141119480133
13,8,2000,26,0,1,0.988163352012634
13,3,750,14,1,1,0.987911701202393
6,3,750,26,0,1,0.988246023654938
2,10,2500,52,0,1,0.988830208778381
4,1,250,4,0,1,0.987660586833954
2,4,1000,26,0,1,0.988229513168335
2,1,250,2,0,1,0.987602770328522
14,2,500,35,1,1,0.988506853580475
2,4,1000,14,1,1,0.987894713878632
11,3,750,76,0,1,0.989543378353119
16,5,1250,27,0,1,0.988240540027618
4,6,1500,47,0,1,0.988762021064758
0,13,3250,28,1,1,0.988135635852814
23,4,1000,45,0,1,0.988740980625153
14,3,750,19,1,1,0.988052129745483
4,2,500,14,0,1,0.987928628921509
1,12,3000,35,0,1,0.988344550132751
14,3,750,33,0,1,0.988436758518219
2,2,500,4,0,1,0.987643241882324
11,1,250,11,0,1,0.98786073923111
2,3,750,4,1,1,0.987625956535339
2,9,2250,22,1,1,0.988035380840302
4,2,500,4,0,1,0.987643241882324
9,1,250,9,0,1,0.987803876399994
11,4,1000,74,0,1,0.989479541778564
4,5,1250,46,0,1,0.988751471042633
4,2,500,13,0,1,0.987900376319885
2,3,750,14,0,1,0.987911701202393
11,7,1750,62,1,1,0.989134252071381
2,4,1000,23,0,1,0.988146662712097
8,2,500,16,0,1,0.987984895706177
2,1,250,2,0,1,0.987602770328522
7,2,500,16,0,1,0.987984895706177
2,7,1750,77,0,1,0.989509046077728
16,5,1250,71,0,1,0.989390552043915
11,24,6000,64,0,1,0.988923907279968
38,1,250,38,0,1,0.988603174686432
4,6,1500,52,0,1,0.988892674446106
2,9,2250,36,0,1,0.988420605659485
4,3,750,16,1,1,0.987968027591705
4,7,1750,52,0,1,0.98887711763382
1,9,2250,51,0,1,0.988819718360901
4,3,750,16,0,1,0.987968027591705
4,3,750,28,0,1,0.988300859928131
1,14,3500,95,0,1,0.989842593669891
11,8,2000,41,1,1,0.988571226596832
12,11,2750,39,0,1,0.988469243049622
9,8,2000,38,1,1,0.988490760326386
21,3,750,35,0,1,0.988490760326386
9,1,250,9,0,1,0.987803876399994
6,17,4250,70,0,1,0.989185035228729
2,4,1000,16,0,1,0.987951159477234
10,4,1000,16,0,1,0.987951159477234
2,4,1000,11,0,1,0.987809598445892
16,4,1000,40,0,1,0.988608539104462
3,5,1250,26,0,1,0.988213002681732
4,13,3250,39,1,1,0.988436877727509
2,1,250,2,0,1,0.987602770328522
11,5,1250,41,0,1,0.988619208335876
16,1,250,16,0,1,0.988001763820648
2,5,1250,11,1,1,0.987792491912842
4,14,3500,40,0,1,0.988447666168213
2,11,2750,28,0,1,0.988168895244598
3,5,1250,12,1,1,0.987820982933044
4,6,1500,46,0,1,0.988735735416412
14,1,250,14,0,1,0.987945556640625
16,4,1000,28,0,1,0.988284409046173
4,6,1500,35,1,1,0.988442242145538
9,2,500,26,0,1,0.988262474536896
4,1,250,4,1,1,0.987660586833954
16,6,1500,81,0,1,0.98962140083313
23,8,2000,46,0,1,0.988704085350037
12,11,2750,23,0,1,0.988029837608337
11,8,2000,72,0,1,0.98937064409256
16,1,250,16,0,1,0.988001763820648
21,1,250,21,0,1,0.988141119480133
4,2,500,51,1,1,0.988928973674774
16,7,1750,39,0,1,0.988533735275269
23,1,250,23,0,1,0.988196432590485
14,13,3250,57,0,1,0.988913476467133
9,3,750,14,0,1,0.987911701202393
2,6,1500,15,1,1,0.987889111042023
21,1,250,21,0,1,0.988141119480133
23,1,250,23,0,1,0.988196432590485
7,11,2750,89,0,1,0.98974221944809
9,2,500,16,1,1,0.987984895706177
14,1,250,14,0,1,0.987945556640625
2,4,1000,14,0,1,0.987894713878632
2,4,1000,16,0,1,0.987951159477234
16,1,250,16,0,1,0.988001763820648
4,4,1000,26,1,1,0.988229513168335
11,1,250,11,0,1,0.98786073923111
4,1,250,4,1,1,0.987660586833954
14,5,1250,50,0,1,0.988856256008148
2,8,2000,38,1,1,0.988490760326386
11,7,1750,37,0,1,0.988479971885681
2,1,250,2,0,1,0.987602770328522
16,4,1000,45,0,1,0.988740980625153
4,1,250,4,0,1,0.987660586833954
11,16,4000,89,0,1,0.989669919013977
4,1,250,4,0,1,0.987660586833954
11,2,500,11,0,1,0.987843692302704
16,6,1500,35,1,1,0.988442242145538
2,8,2000,35,1,1,0.988409757614136
21,1,250,21,0,1,0.988141119480133
21,3,750,35,0,1,0.988490760326386
14,2,500,14,0,1,0.987928628921509
2,1,250,2,0,1,0.987602770328522
14,2,500,14,0,1,0.987928628921509
23,3,750,39,0,1,0.988597869873047
21,2,500,41,0,1,0.988667011260986
14,1,250,14,0,1,0.987945556640625
14,7,1750,26,0,1,0.988179922103882
11,5,1250,35,0,1,0.988458395004272
3,5,1250,38,0,1,0.988539099693298
16,3,750,23,0,1,0.98816329240799
21,3,750,26,0,1,0.988246023654938
11,2,500,14,0,1,0.987928628921509
11,5,1250,18,0,1,0.98799055814743
23,38,9500,98,0,1,0.989567995071411
11,1,250,11,1,1,0.98786073923111
14,1,250,14,0,1,0.987945556640625
11,5,1250,50,0,1,0.988856256008148
16,7,1750,93,0,1,0.98989474773407
4,8,2000,21,0,1,0.988024175167084
21,1,250,21,0,1,0.988141119480133
8,9,2250,64,0,1,0.989154577255249
1,13,3250,47,0,1,0.988651156425476
11,5,1250,33,0,1,0.988404333591461
4,3,750,71,0,1,0.989420235157013
5,7,1750,26,1,1,0.988179922103882
2,1,250,2,1,1,0.987602770328522
4,4,1000,14,1,1,0.987894713878632
11,6,1500,28,0,1,0.988251507282257
1,16,4000,35,1,1,0.988279044628143
2,2,500,2,0,1,0.987585365772247
4,6,1500,23,1,1,0.988113403320313
1,24,6000,77,0,1,0.989255726337433
2,1,250,2,0,1,0.987602770328522
9,9,2250,54,0,1,0.988897919654846
14,1,250,14,0,1,0.987945556640625
4,9,2250,52,0,1,0.988845825195313
4,33,8250,98,1,1,0.989640951156616
23,8,2000,69,0,1,0.989295780658722
14,7,1750,73,0,1,0.989410400390625
23,6,1500,45,0,1,0.988709330558777
2,1,250,2,0,1,0.987602770328522
7,10,2500,47,0,1,0.988698780536652
14,1,250,14,0,1,0.987945556640625
4,12,3000,88,0,1,0.989703714847565
4,4,1000,16,0,1,0.987951159477234
2,1,250,2,0,1,0.987602770328522
9,9,2250,16,0,1,0.987866461277008
11,12,3000,58,0,1,0.988954901695251
2,2,500,4,1,1,0.987643241882324
4,1,250,4,0,1,0.987660586833954
16,14,3500,83,0,1,0.989553213119507
6,22,5500,28,1,1,0.987985074520111
14,1,250,14,0,1,0.987945556640625
4,5,1250,58,0,1,0.98906284570694
12,12,3000,58,0,1,0.988954901695251
2,11,2750,46,1,1,0.988656461238861
11,2,500,21,0,1,0.988124489784241
4,1,250,4,0,1,0.987660586833954
4,1,250,4,1,1,0.987660586833954
21,2,500,35,0,1,0.988506853580475
2,12,3000,47,1,1,0.988667070865631
21,3,750,40,0,1,0.988624513149261
2,2,500,10,0,1,0.987815260887146
16,2,500,27,0,1,0.988289892673492
4,7,1750,58,0,1,0.989032089710236
16,1,250,16,0,1,0.988001763820648
4,7,1750,32,1,1,0.988344550132751
4,9,2250,46,0,1,0.988688230514526
4,5,1250,58,0,1,0.98906284570694
11,8,2000,48,0,1,0.988756775856018
4,5,1250,11,1,1,0.987792491912842
23,4,1000,87,0,1,0.989794850349426
11,4,1000,28,0,1,0.988284409046173
11,3,750,28,0,1,0.988300859928131
4,4,1000,34,1,1,0.988447606563568
4,5,1250,28,0,1,0.988267958164215
2,1,250,2,0,1,0.987602770328522
14,7,1750,45,0,1,0.988693475723267
14,5,1250,26,0,1,0.988213002681732
4,2,500,59,0,1,0.989134252071381
2,7,1750,76,0,1,0.989484488964081
16,1,250,16,0,1,0.988001763820648
16,2,500,16,0,1,0.987984895706177
2,2,500,2,0,1,0.987585365772247
6,3,750,14,0,1,0.987911701202393
7,14,3500,48,0,1,0.988661766052246
14,3,750,79,0,1,0.989616513252258
4,1,250,4,0,1,0.987660586833954
4,1,250,4,0,1,0.987660586833954
11,9,2250,38,0,1,0.988474607467651
11,3,750,37,0,1,0.988544404506683
4,2,500,46,0,1,0.98879873752594
23,2,500,23,0,1,0.988179862499237
2,4,1000,16,0,1,0.987951159477234
4,19,4750,69,1,1,0.989129245281219
2,2,500,10,1,1,0.987815260887146
14,3,750,52,0,1,0.988939344882965
21,2,500,21,1,1,0.988124489784241
14,2,500,14,0,1,0.987928628921509
18,2,500,23,0,1,0.988179862499237
2,1,250,2,0,1,0.987602770328522
23,3,750,41,0,1,0.988651096820831
3,2,500,23,0,1,0.988179862499237
14,3,750,28,0,1,0.988300859928131
11,1,250,11,0,1,0.98786073923111
16,2,500,70,0,1,0.98941034078598
16,7,1750,38,0,1,0.98850691318512
7,9,2250,89,1,1,0.989770948886871
16,6,1500,40,0,1,0.988576531410217
1,14,3500,58,0,1,0.988923847675323
16,1,250,16,0,1,0.988001763820648
7,5,1250,35,0,1,0.988458395004272
3,17,4250,86,0,1,0.989582538604736
23,2,500,26,0,1,0.988262474536896
14,2,500,14,1,1,0.987928628921509
16,3,750,35,0,1,0.988490760326386
11,14,3500,73,1,1,0.989305853843689
23,5,1250,58,0,1,0.98906284570694
2,3,750,77,0,1,0.989567816257477
11,1,250,11,0,1,0.98786073923111
4,1,250,4,1,1,0.987660586833954
16,1,250,16,0,1,0.988001763820648
9,9,2250,38,0,1,0.988474607467651
5,14,3500,86,0,1,0.989626288414001
4,10,2500,28,1,1,0.988185465335846
11,8,2000,46,0,1,0.988704085350037
4,2,500,4,0,1,0.987643241882324
16,6,1500,35,0,1,0.988442242145538
4,6,1500,28,1,1,0.988251507282257
14,4,1000,64,0,1,0.989230453968048
14,4,1000,57,0,1,0.989052593708038
11,9,2250,33,0,1,0.988339126110077
4,2,500,4,1,1,0.987643241882324
11,8,2000,52,1,1,0.988861501216888
14,7,1750,72,0,1,0.989385545253754
4,1,250,4,1,1,0.987660586833954
9,4,1000,65,0,1,0.989255607128143
2,4,1000,14,1,1,0.987894713878632
11,4,1000,59,0,1,0.989103674888611
4,8,2000,40,1,1,0.988544464111328
16,3,750,50,0,1,0.988887488842011
4,23,5750,58,0,1,0.988783121109009
